,tconst,title,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,file_name
189,tt0118617,Anastasia,0,1997,94,"Adventure,Animation,Drama",7.1,121034.0,anastasia
190,tt0118689,Bean,0,1997,89,"Adventure,Comedy,Family",6.5,103421.0,bean
191,tt0118749,Boogie Nights,0,1997,155,Drama,7.9,258985.0,boogie-nights
192,tt0118842,Chasing Amy,0,1997,113,"Comedy,Drama,Romance",7.2,136950.0,chasing-amy
193,tt0118900,Gang Related,0,1997,116,"Action,Crime,Drama",6.4,8955.0,gang-related
194,tt0118956,Deep Rising,0,1998,106,"Action,Adventure,Horror",6.0,36732.0,deep-rising
195,tt0119008,Donnie Brasco,0,1997,127,"Biography,Crime,Drama",7.7,299569.0,donnie-brasco
196,tt0119081,Event Horizon,0,1997,96,"Horror,Sci-Fi,Thriller",6.6,173981.0,event-horizon
197,tt0119177,Gattaca,0,1997,106,"Drama,Sci-Fi,Thriller",7.8,297813.0,gattaca
198,tt0119217,Good Will Hunting,0,1997,126,"Drama,Romance",8.3,934855.0,good-will-hunting
199,tt0119381,Inventing the Abbotts,0,1997,110,"Drama,Romance",6.4,12751.0,inventing-the-abbotts
200,tt0119396,Jackie Brown,0,1997,154,"Crime,Drama,Thriller",7.5,341041.0,jackie-brown
201,tt0119485,Kundun,0,1997,134,"Biography,Drama,History",7.0,27903.0,kundun
202,tt0119488,L.A. Confidential,0,1997,138,"Crime,Drama,Mystery",8.3,570270.0,l.a.-confidential
203,tt0119528,Liar Liar,0,1997,86,"Comedy,Fantasy",6.9,302176.0,liar-liar
204,tt0119643,Meet Joe Black,0,1998,178,"Drama,Fantasy,Romance",7.2,233602.0,meet-joe-black
205,tt0119654,Men in Black,0,1997,98,"Action,Adventure,Comedy",7.3,552991.0,men-in-black
206,tt0119664,Metro,0,1997,117,"Action,Comedy,Crime",5.5,27415.0,metro
207,tt0119675,Mimic,0,1997,105,"Horror,Sci-Fi",6.0,50192.0,mimic
208,tt0119738,My Best Friend's Wedding,0,1997,105,"Comedy,Drama,Romance",6.3,140055.0,my-best-friend's-wedding
209,tt0119822,As Good as It Gets,0,1997,139,"Comedy,Drama,Romance",7.7,294260.0,as-good-as-it-gets
210,tt0120082,Scream 2,0,1997,120,"Horror,Mystery",6.3,178540.0,scream-2
211,tt0120157,Soldier,0,1998,99,"Action,Drama,Sci-Fi",6.0,56201.0,soldier
212,tt0120184,Sphere,0,1998,134,"Action,Mystery,Sci-Fi",6.1,105715.0,sphere
213,tt0120201,Starship Troopers,0,1997,129,"Action,Adventure,Sci-Fi",7.3,288576.0,starship-troopers
214,tt0120202,State and Main,0,2000,105,"Comedy,Drama",6.7,21264.0,state-and-main
215,tt0120338,Titanic,0,1997,194,"Drama,Romance",7.9,1130822.0,titanic
216,tt0120347,Tomorrow Never Dies,0,1997,119,"Action,Adventure,Thriller",6.5,191955.0,tomorrow-never-dies
217,tt0120399,U Turn,0,1997,125,"Crime,Drama,Thriller",6.7,51839.0,u-turn
218,tt0120586,American History X,0,1998,119,Drama,8.5,1094140.0,american-history-x
219,tt0120587,Antz,0,1998,83,"Adventure,Animation,Comedy",6.6,153350.0,antz
220,tt0120591,Armageddon,0,1998,151,"Action,Adventure,Sci-Fi",6.7,418362.0,armageddon
221,tt0120601,Being John Malkovich,0,1999,113,"Comedy,Drama,Fantasy",7.8,329681.0,being-john-malkovich
222,tt0120603,Beloved,0,1998,172,"Drama,History,Horror",6.0,8981.0,beloved
223,tt0120611,Blade,0,1998,120,"Action,Horror,Sci-Fi",7.1,266424.0,blade
224,tt0120655,Dogma,0,1999,130,"Adventure,Comedy,Drama",7.3,215617.0,dogma
225,tt0120660,Enemy of the State,0,1998,132,"Action,Thriller",7.3,240587.0,enemy-of-the-state
226,tt0120667,Fantastic Four,0,2005,106,"Action,Adventure,Fantasy",5.7,325078.0,fantastic-four
227,tt0120669,Fear and Loathing in Las Vegas,0,1998,118,"Adventure,Comedy,Drama",7.5,275802.0,fear-and-loathing-in-las-vegas
228,tt0120684,Gods and Monsters,0,1998,105,"Biography,Drama",7.4,30765.0,gods-and-monsters
229,tt0120686,Stepmom,0,1998,125,"Comedy,Drama",6.8,66752.0,stepmom
230,tt0120696,Hard Rain,0,1998,97,"Action,Crime,Drama",5.9,35126.0,hard-rain
231,tt0120735,"Lock, Stock and Two Smoking Barrels",0,1998,107,"Action,Comedy,Crime",8.2,569910.0,"lock,-stock-and-two-smoking-barrels"
232,tt0120738,Lost in Space,0,1998,130,"Action,Adventure,Family",5.2,72144.0,lost-in-space
233,tt0120751,Mighty Joe Young,0,1998,114,"Action,Adventure,Family",5.7,28986.0,mighty-joe-young
234,tt0120762,Mulan,0,1998,88,"Adventure,Animation,Comedy",7.6,278881.0,mulan
235,tt0120780,Out of Sight,0,1998,123,"Comedy,Crime,Drama",7.0,91462.0,out-of-sight
236,tt0120789,Pleasantville,0,1998,124,"Comedy,Drama,Fantasy",7.5,127790.0,pleasantville
237,tt0120804,Resident Evil,0,2002,100,"Action,Horror,Sci-Fi",6.6,265118.0,resident-evil
238,tt0120812,Rush Hour,0,1998,98,"Action,Comedy,Crime",7.0,260616.0,rush-hour
239,tt0120815,Saving Private Ryan,0,1998,169,"Drama,War",8.6,1342594.0,saving-private-ryan
240,tt0120834,Snow Falling on Cedars,0,1999,127,"Drama,Mystery,Romance",6.8,14109.0,snow-falling-on-cedars
241,tt0120885,Wag the Dog,0,1997,97,"Comedy,Drama",7.1,83320.0,wag-the-dog
242,tt0120891,Wild Wild West,0,1999,106,"Action,Comedy,Sci-Fi",4.9,159803.0,wild-wild-west
243,tt0120903,X-Men,0,2000,104,"Action,Adventure,Sci-Fi",7.4,602697.0,x-men
244,tt0122529,Henry Fool,0,1997,137,"Comedy,Drama",7.2,7259.0,henry-fool
245,tt0122690,Ronin,0,1998,122,"Action,Crime,Thriller",7.2,181718.0,ronin
246,tt0122933,Analyze This,0,1999,103,"Comedy,Crime",6.7,152234.0,analyze-this
247,tt0123755,Cube,0,1997,90,"Drama,Horror,Mystery",7.2,226476.0,cube
248,tt0123964,Life,0,1999,108,"Comedy,Crime,Drama",6.7,49855.0,life
249,tt0124198,Very Bad Things,0,1998,100,"Comedy,Crime,Thriller",6.3,46910.0,very-bad-things
250,tt0125439,Notting Hill,0,1999,124,"Comedy,Drama,Romance",7.2,301974.0,notting-hill
251,tt0125664,Man on the Moon,0,1999,118,"Biography,Comedy,Drama",7.4,129853.0,man-on-the-moon
252,tt0126029,Shrek,0,2001,90,"Adventure,Animation,Comedy",7.9,658071.0,shrek
253,tt0126886,Election,0,1999,103,"Comedy,Romance",7.3,96031.0,election
254,tt0128445,Rushmore,0,1998,93,"Comedy,Drama,Romance",7.6,182596.0,rushmore
255,tt0128853,You've Got Mail,0,1998,119,"Comedy,Drama,Romance",6.7,209026.0,you've-got-mail
256,tt0129387,There's Something About Mary,0,1998,119,"Comedy,Romance",7.1,306734.0,there's-something-about-mary
257,tt0130018,I Still Know What You Did Last Summer,0,1998,100,"Horror,Mystery",4.7,73219.0,i-still-know-what-you-did-last-summer
258,tt0132347,Mystery Men,0,1999,121,"Action,Comedy,Fantasy",6.1,66714.0,mystery-men
259,tt0132512,At First Sight,0,1999,128,"Drama,Romance",5.9,13672.0,at-first-sight
260,tt0134084,Scream 3,0,2000,116,"Horror,Mystery",5.6,140020.0,scream-3
261,tt0134273,8MM,0,1999,123,"Crime,Drama,Mystery",6.5,131803.0,8mm
262,tt0134847,Pitch Black,0,2000,109,"Action,Horror,Sci-Fi",7.1,236274.0,pitch-black
